ObjectID,Classification,Park,City,Surface_Type,Width_ft,Summer_Use,Winter_Use,Plowed,Trail_Name,Length_ft,city_population
1037,PT,Lake Minnetonka,Minnetrista,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,35.7,8946.0
1038,PT,Lake Minnetonka,Minnetrista,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,568.43,8946.0
1039,PT,Lake Minnetonka,Minnetrista,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,338.52,8946.0
1040,PT,Lake Minnetonka,Minnetrista,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,205.49,8946.0
1041,PT,Lake Minnetonka,Minnetrista,Bituminous,0.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,177.34,8946.0
1042,PT,Mississippi Gateway,Brooklyn Park,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash)",False,,267.23,80619.0
1050,PT,Crow-Hassan,Rogers,Mowed,12.0,"Unpaved Hike, Horse, Dog (On-Leash)",Snowmobile,False,,841.82,13714.0
1051,PT,Cleary,Credit River Twp.,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,1217.62,
1052,PT,Cleary,Credit River Twp.,Bituminous,0.0,"Paved Hike, Bike, Dog (On-Leash)","Cross-country Skate/Classic, Lit",False,,62.8,
1053,PT,Cleary,Credit River Twp.,Bituminous,0.0,"Paved Hike, Bike, Dog (On-Leash)","Cross-country Skate/Classic, Lit",False,,375.49,
